CardID,Course,Unit,WordCategoryEN,WordCategoryCY,BaseCY,BaseEN,NotesEN,NotesCY,BeforeCY,AfterCY,SentenceHelpEN,SentenceHelpCY,AnswerCY,AcceptedAnswerArray,OptionsArray,WhyEN,WhyCY,TagsEN,TagsCY
v000011,Uwch 1,1,noun-masc,enw gwrywaidd,llysenw,nickname,Masculine noun meaning nickname. Plural llysenwau. Example: Mae ganddi llysenw doniol.,Enw gwrywaidd sy'n golygu llysenw. Lluosog: llysenwau. Enghraifft: Mae ganddi llysenw doniol.,Beth yw ei,yn y gwaith?,Glossary: beth yw=what is; ei=his her; gwaith=work,Geirfa: beth yw=what is; ei=his her; gwaith=work,lysenw,lysenw,lysenw|llysenw|llysenwau|llys enw,Llysenw means nickname. After ei there is a soft mutation so ll changes to l: llysenw becomes lysenw.,Mae llysenw yn golygu nickname. Ar ôl ei mae treiglad meddal felly mae ll yn newid i l: llysenw yn dod yn lysenw.,noun|masculine|soft-mutation|possessive|people|uwch1|unit1,enw|gwrywaidd|treiglad meddal|meddiannol|pobl|uwch1|uned1
v000012,Uwch 1,1,noun-masc,enw gwrywaidd,milwr,soldier,Masculine noun meaning soldier. Plural milwyr. Example: Roedd y milwr yn sefyll ar warchod.,Enw gwrywaidd sy'n golygu milwr. Lluosog: milwyr. Enghraifft: Roedd y milwr yn sefyll ar warchod.,Wyt ti wedi colli dy,bach?,Glossary: colli=lose; dy=your; bach=little,Geirfa: colli=lose; dy=your; bach=little,filwr,filwr,filwr|milwr|milwyr|filwyr,Milwr means soldier. After dy there is a soft mutation so m changes to f: milwr becomes filwr.,Mae milwr yn golygu soldier. Ar ôl dy mae treiglad meddal felly mae m yn newid i f: milwr yn dod yn filwr.,noun|masculine|soft-mutation|possessive|jobs|uwch1|unit1,enw|gwrywaidd|treiglad meddal|meddiannol|gwaith|uwch1|uned1
v000013,Uwch 1,1,noun-pl,enw lluosog,milwyr,soldiers,Plural noun meaning soldiers. Singular milwr. Example: Daeth y milwyr adref yn ddiogel.,Enw lluosog sy'n golygu soldiers. Unigol: milwr. Enghraifft: Daeth y milwyr adref yn ddiogel.,Roedd hi'n anodd i'r,gerdded drwy'r eira.,Glossary: anodd=difficult; i'r=for the to the; gerdded=walk; drwy'r=through the; eira=snow,Geirfa: anodd=difficult; i'r=for the to the; gerdded=walk; drwy'r=through the; eira=snow,filwyr,filwyr,filwyr|milwyr|milwr|filwr,Milwyr means soldiers and is the plural of milwr. After i there is a soft mutation so m changes to f: milwyr becomes filwyr.,Mae milwyr yn golygu soldiers ac mae'n lluosog milwr. Ar ôl i mae treiglad meddal felly mae m yn newid i f: milwyr yn dod yn filwyr.,noun|plural|soft-mutation|preposition|jobs|uwch1|unit1,enw|lluosog|treiglad meddal|rhagferf|gwaith|uwch1|uned1
v000014,Uwch 2,6,noun-masc,enw-gwrywaidd,cadfridog,general,"Masculine noun meaning ""general"" (a high-ranking army officer). Plural: cadfridogion. Example: Cafodd y cadfridog ei wahodd i’r seremoni.","Enw gwrywaidd sy’n golygu ""general"" (swyddog uchel yn y fyddin). Lluosog: cadfridogion. Enghraifft: Cafodd y cadfridog ei wahodd i’r seremoni.","Cafodd y milwyr gyfarfod gyda'i","cyn y frwydr.","Glossary: milwyr=soldiers; cyfarfod=to meet/meeting; gyda'i=with his; cyn=before; brwydr=battle","Geirfa: milwyr=soldiers; cyfarfod=to meet/meeting; gyda'i=gyda ei (gyda'i); cyn=before; brwydr=battle",gadfridog,gadfridog,"gadfridog|cadfridog|gadfridogion|gadfridwg","""Cadfridog"" is masculine. After ""ei"" meaning ""his"", a soft mutation is used, so ""cadfridog"" becomes ""gadfridog"" (c→g).","Mae ""cadfridog"" yn enw gwrywaidd. Ar ôl ""ei"" sy’n golygu ""ei (ef)"", defnyddir treiglad meddal, felly mae ""cadfridog"" yn dod yn ""gadfridog"" (c→g).","noun|masculine|mutation|military|uwch2|uned6","enw|gwrywaidd|treiglad|milwrol|uwch2|uned6"
v000015,Uwch 2,6,noun-pl,enw-lluosog,cadfridogion,generals,"Plural form of ""cadfridog"" (general): cadfridogion. Example: Gwelson ni’r cadfridogion ar y maes parêd.","Lluosog ""cadfridog"" (general): cadfridogion. Enghraifft: Gwelson ni’r cadfridogion ar y maes parêd.","Roedd y fyddin yn falch o'u","ar ôl y parêd.","Glossary: byddin=army; balch=proud; o'u=of their; ar ôl=after; parêd=parade","Geirfa: byddin=army; balch=proud; o'u=o eu; ar ôl=after; parêd=parade",gadfridogion,gadfridogion,"gadfridogion|cadfridogion|gadfridog|cadfridog","This is the plural. After ""eu"" (their) there is soft mutation, so ""cadfridogion"" becomes ""gadfridogion"" (c→g).","Dyma’r lluosog. Ar ôl ""eu"" (their) ceir treiglad meddal, felly mae ""cadfridogion"" yn dod yn ""gadfridogion"" (c→g).","noun|plural|mutation|military|uwch2|uned6","enw|lluosog|treiglad|milwrol|uwch2|uned6"
v000016,Uwch 2,6,noun-masc,enw-gwrywaidd,cadoediad,armistice,"Masculine noun meaning ""armistice/truce/ceasefire"". Plural: cadoediadau. Example: Daeth y rhyfel i ben ar ôl cadoediad byr.","Enw gwrywaidd sy’n golygu ""cadoediad"" (armistice/truce/ceasefire). Lluosog: cadoediadau. Enghraifft: Daeth y rhyfel i ben ar ôl cadoediad byr.","Llwyddon nhw i gytuno ar ei","ar ôl wythnos o drafod.","Glossary: llwyddo=to succeed; cytuno=to agree; ar ei=on his; wythnos=week; trafod=discussion/negotiation","Geirfa: llwyddo=to succeed; cytuno=to agree; ar ei=ar ei (ef); wythnos=week; trafod=discussion/negotiation",gadoediad,gadoediad,"gadoediad|cadoediad|gadoediadau|cadoediadau","""Cadoediad"" is masculine. After ""ei"" meaning ""his"", soft mutation applies: ""cadoediad"" → ""gadoediad"" (c→g).","Mae ""cadoediad"" yn enw gwrywaidd. Ar ôl ""ei"" (ei ef) ceir treiglad meddal: ""cadoediad"" → ""gadoediad"" (c→g).","noun|masculine|mutation|peace|politics|uwch2|uned6","enw|gwrywaidd|treiglad|heddwch|gwleidyddiaeth|uwch2|uned6"
v000017,Uwch 2,6,noun-pl,enw-lluosog,cadoediadau,armistices,"Plural of ""cadoediad"": cadoediadau. Example: Cafwyd sawl cadoediadau dros y blynyddoedd.","Lluosog ""cadoediad"": cadoediadau. Enghraifft: Cafwyd sawl cadoediadau dros y blynyddoedd.","Clywon ni am eu","drwy'r byd.","Glossary: clywed=to hear; am=about; eu=their; drwy'r byd=around the world","Geirfa: clywed=to hear; am=about; eu=their; drwy'r byd=around the world",gadoediadau,gadoediadau,"gadoediadau|cadoediadau|gadoediad|cadoediad","Plural form. After ""eu"" (their), soft mutation applies: ""cadoediadau"" → ""gadoediadau"" (c→g).","Ffurf luosog. Ar ôl ""eu"" (their) ceir treiglad meddal: ""cadoediadau"" → ""gadoediadau"" (c→g).","noun|plural|mutation|peace|politics|uwch2|uned6","enw|lluosog|treiglad|heddwch|gwleidyddiaeth|uwch2|uned6"
v000018,Uwch 2,6,noun-masc,enw-gwrywaidd,ffoadur,refugee,"Masculine noun meaning ""refugee"". Plural: ffoaduriaid. Example: Roedd y ffoadur yn chwilio am ddiogelwch.","Enw gwrywaidd sy’n golygu ""refugee"". Lluosog: ffoaduriaid. Enghraifft: Roedd y ffoadur yn chwilio am ddiogelwch.","Roedd e'n helpu ei","i gael cartref newydd.","Glossary: helpu=to help; ei=his; cael=to get; cartref=home; newydd=new","Geirfa: helpu=to help; ei=ei (ef); cael=to get; cartref=home; newydd=new",foadur,foadur,"foadur|ffoadur|ffoaduriaid|foaduriaid","""Ffoadur"" is masculine. After ""ei"" meaning ""his"", soft mutation is used, and ""ff"" becomes ""f"": ""ffoadur"" → ""foadur"".","Mae ""ffoadur"" yn enw gwrywaidd. Ar ôl ""ei"" (ei ef) defnyddir treiglad meddal, ac mae ""ff"" yn dod yn ""f"": ""ffoadur"" → ""foadur"".","noun|masculine|mutation|people|society|uwch2|uned6","enw|gwrywaidd|treiglad|pobl|cymdeithas|uwch2|uned6"
v000019,Uwch 2,6,noun-pl,enw-lluosog,ffoaduriaid,refugees,"Plural of ""ffoadur"": ffoaduriaid. Example: Mae'r elusen yn cefnogi ffoaduriaid yn lleol.","Lluosog ""ffoadur"": ffoaduriaid. Enghraifft: Mae'r elusen yn cefnogi ffoaduriaid yn lleol.","Mae'r elusen yn cefnogi eu","yn lleol.","Glossary: elusen=charity; cefnogi=to support; eu=their; lleol=locally","Geirfa: elusen=charity; cefnogi=to support; eu=their; lleol=locally",foaduriaid,foaduriaid,"foaduriaid|ffoaduriaid|foadur|ffoadur","Plural form. After ""eu"" (their), soft mutation applies and ""ff"" becomes ""f"": ""ffoaduriaid"" → ""foaduriaid"".","Ffurf luosog. Ar ôl ""eu"" (their) ceir treiglad meddal ac mae ""ff"" yn dod yn ""f"": ""ffoaduriaid"" → ""foaduriaid"".","noun|plural|mutation|people|society|uwch2|uned6","enw|lluosog|treiglad|pobl|cymdeithas|uwch2|uned6"
v000020,Uwch 2,6,noun-masc,enw-gwrywaidd,galar,grief,"Masculine noun meaning ""grief"" (often after a loss). Example: Roedd galar mawr yn y teulu ar ôl y farwolaeth.","Enw gwrywaidd sy’n golygu ""galar"" (yn aml ar ôl colled). Enghraifft: Roedd galar mawr yn y teulu ar ôl y farwolaeth.","Ar ôl y newyddion, roedd ei","yn amlwg.","Glossary: ar ôl=after; newyddion=news; ei=his; amlwg=obvious/clear","Geirfa: ar ôl=after; newyddion=news; ei=ei (ef); amlwg=obvious/clear",alar,alar,"alar|galar|galarn|galaru","After ""ei"" meaning ""his"", soft mutation happens. With words starting with ""g"", the ""g"" disappears, so ""galar"" becomes ""alar"".","Ar ôl ""ei"" (ei ef) ceir treiglad meddal. Gyda geiriau sy’n dechrau gyda ""g"", mae’r ""g"" yn diflannu, felly mae ""galar"" yn dod yn ""alar"".","noun|masculine|mutation|feelings|uwch2|uned6","enw|gwrywaidd|treiglad|teimladau|uwch2|uned6"
v000021,Uwch 2,6,noun-masc,enw-gwrywaidd,goddrych,subject,"Masculine noun meaning ""subject"" (in grammar). Plural: goddrychau. Example: Yn y frawddeg hon, y goddrych yw ""y bachgen"".","Enw gwrywaidd sy’n golygu ""goddrych"" (mewn gramadeg). Lluosog: goddrychau. Enghraifft: Yn y frawddeg hon, y goddrych yw ""y bachgen"".","Yn gramadegol, mae'n bwysig adnabod ei","mewn brawddeg.","Glossary: gramadegol=grammatically; bwysig=important; adnabod=to identify; ei=his; brawddeg=sentence","Geirfa: gramadegol=grammatically; bwysig=important; adnabod=to identify; ei=ei (ef); brawddeg=sentence",oddrych,oddrych,"oddrych|goddrych|goddrychau|oddrychau","""Goddrych"" is masculine. After ""ei"" (his) there is soft mutation, and initial ""g"" disappears: ""goddrych"" → ""oddrych"".","Mae ""goddrych"" yn enw gwrywaidd. Ar ôl ""ei"" (ei ef) ceir treiglad meddal, ac mae’r ""g"" ar y dechrau’n diflannu: ""goddrych"" → ""oddrych"".","noun|masculine|mutation|grammar|uwch2|uned6","enw|gwrywaidd|treiglad|gramadeg|uwch2|uned6"
v000022,Uwch 2,6,noun-pl,enw-lluosog,goddrychau,subjects,"Plural of ""goddrych"" (grammar subject): goddrychau. Example: Mae gan rai brawddegau ddau goddrychau.","Lluosog ""goddrych"" (gramadeg): goddrychau. Enghraifft: Mae gan rai brawddegau ddau goddrychau.","Mae'r tiwtor yn esbonio eu","yn glir.","Glossary: tiwtor=tutor; esbonio=to explain; eu=their; glir=clearly","Geirfa: tiwtor=tutor; esbonio=to explain; eu=their; glir=clearly",oddrychau,oddrychau,"oddrychau|goddrychau|oddrych|goddrych","Plural form. After ""eu"" (their), soft mutation applies and initial ""g"" disappears: ""goddrychau"" → ""oddrychau"".","Ffurf luosog. Ar ôl ""eu"" (their) ceir treiglad meddal ac mae’r ""g"" ar y dechrau’n diflannu: ""goddrychau"" → ""oddrychau"".","noun|plural|mutation|grammar|uwch2|uned6","enw|lluosog|treiglad|gramadeg|uwch2|uned6"
v000023,Uwch 2,6,noun-masc,enw-gwrywaidd,gwirfoddolwr,volunteer,"Masculine noun meaning ""volunteer"". Plural: gwirfoddolwyr. Example: Daeth gwirfoddolwr i helpu yn y digwyddiad.","Enw gwrywaidd sy’n golygu ""gwirfoddolwr"". Lluosog: gwirfoddolwyr. Enghraifft: Daeth gwirfoddolwr i helpu yn y digwyddiad.","Roedd y prosiect yn dibynnu ar ei","bob wythnos.","Glossary: prosiect=project; dibynnu=to depend; ar ei=on his; bob wythnos=every week","Geirfa: prosiect=project; dibynnu=to depend; ar ei=ar ei (ef); bob wythnos=every week",wirfoddolwr,wirfoddolwr,"wirfoddolwr|gwirfoddolwr|wirfoddolwyr|gwirfoddolwyr","After ""ei"" (his), soft mutation removes the initial ""g"": ""gwirfoddolwr"" → ""wirfoddolwr"".","Ar ôl ""ei"" (ei ef) ceir treiglad meddal ac mae’r ""g"" ar y dechrau’n diflannu: ""gwirfoddolwr"" → ""wirfoddolwr"".","noun|masculine|mutation|community|work|uwch2|uned6","enw|gwrywaidd|treiglad|cymuned|gwaith|uwch2|uned6"
v000024,Uwch 2,6,noun-pl,enw-lluosog,gwirfoddolwyr,volunteers,"Plural of ""gwirfoddolwr"": gwirfoddolwyr. Example: Diolch i'r gwirfoddolwyr am eu help.","Lluosog ""gwirfoddolwr"": gwirfoddolwyr. Enghraifft: Diolch i'r gwirfoddolwyr am eu help.","Roedden ni'n ddiolchgar am eu","drwy'r dydd.","Glossary: diolchgar=grateful; am=for; eu=their; drwy'r dydd=throughout the day","Geirfa: diolchgar=grateful; am=for; eu=their; drwy'r dydd=throughout the day",wirfoddolwyr,wirfoddolwyr,"wirfoddolwyr|gwirfoddolwyr|wirfoddolwr|gwirfoddolwr","Plural form. After ""eu"" (their), soft mutation removes initial ""g"": ""gwirfoddolwyr"" → ""wirfoddolwyr"".","Ffurf luosog. Ar ôl ""eu"" (their) ceir treiglad meddal ac mae’r ""g"" ar y dechrau’n diflannu: ""gwirfoddolwyr"" → ""wirfoddolwyr"".","noun|plural|mutation|community|work|uwch2|uned6","enw|lluosog|treiglad|cymuned|gwaith|uwch2|uned6"
v000025,Uwch 2,6,noun-masc,enw-gwrywaidd,gwrthwynebiad,opposition,"Masculine noun meaning ""opposition"" (resistance to an idea/plan). Example: Bu gwrthwynebiad cryf i’r cynllun.","Enw gwrywaidd sy’n golygu ""gwrthwynebiad"" (gwrthsafiad i syniad/cynllun). Enghraifft: Bu gwrthwynebiad cryf i’r cynllun.","Er gwaethaf ei",", aeth y cynllun ymlaen.","Glossary: er gwaethaf=despite; ei=his; aeth=went; cynllun=plan; ymlaen=forward/on","Geirfa: er gwaethaf=despite; ei=ei (ef); aeth=went; cynllun=plan; ymlaen=on",wrthwynebiad,wrthwynebiad,"wrthwynebiad|gwrthwynebiad|gwrthwyneb|wrthwyneb","After ""ei"" (his), soft mutation removes the initial ""g"": ""gwrthwynebiad"" → ""wrthwynebiad"".","Ar ôl ""ei"" (ei ef) ceir treiglad meddal ac mae’r ""g"" ar y dechrau’n diflannu: ""gwrthwynebiad"" → ""wrthwynebiad"".","noun|masculine|mutation|politics|debate|uwch2|uned6","enw|gwrywaidd|treiglad|gwleidyddiaeth|dadl|uwch2|uned6"
v000026,Uwch 2,6,noun-masc,enw-gwrywaidd,heddwch,peace,"Masculine noun meaning ""peace"". Example: Mae heddwch yn bwysig i bawb.","Enw gwrywaidd sy’n golygu ""heddwch"". Enghraifft: Mae heddwch yn bwysig i bawb.","Rydyn ni'n gobeithio am","yn y dyfodol.","Glossary: gobeithio=to hope; am=for; dyfodol=future","Geirfa: gobeithio=to hope; am=for; dyfodol=future",heddwch,heddwch,"heddwch|hedwch|heddiw|hedfan","""Heddwch"" means ""peace"". Here it is used as a general noun after ""am"" (for). No mutation is needed.","Mae ""heddwch"" yn golygu ""peace"". Yma mae’n cael ei ddefnyddio fel enw cyffredinol ar ôl ""am"". Does dim treiglad angen.","noun|masculine|abstract|society|uwch2|uned6","enw|gwrywaidd|haniaethol|cymdeithas|uwch2|uned6"
v000027,Uwch 2,6,noun-masc,enw-gwrywaidd,mawredd,greatness,"Masculine noun meaning ""greatness/grandeur"". Example: Roedd mawredd y castell yn drawiadol.","Enw gwrywaidd sy’n golygu ""mawredd"" (greatness/grandeur). Enghraifft: Roedd mawredd y castell yn drawiadol.","Roedden nhw'n edmygu ei","a'i charedigrwydd.","Glossary: edmygu=to admire; ei=his; caredigrwydd=kindness","Geirfa: edmygu=to admire; ei=ei (ef); caredigrwydd=kindness",fawredd,fawredd,"fawredd|mawredd|mawr|mawreddus","After ""ei"" (his), soft mutation applies: ""mawredd"" → ""fawredd"" (m→f).","Ar ôl ""ei"" (ei ef) ceir treiglad meddal: ""mawredd"" → ""fawredd"" (m→f).","noun|masculine|mutation|description|uwch2|uned6","enw|gwrywaidd|treiglad|disgrifiad|uwch2|uned6"
v000028,Uwch 2,6,noun-masc,enw-gwrywaidd,olew olewydd,olive oil,"Masculine noun phrase meaning ""olive oil"". Example: Defnyddia olew olewydd i goginio'n iach.","Ymadrodd enw gwrywaidd sy’n golygu ""olew olewydd"". Enghraifft: Defnyddia olew olewydd i goginio'n iach.","Dw i'n hoffi coginio gydag","bob dydd.","Glossary: hoffi=to like; coginio=to cook; gydag=with; bob dydd=every day","Geirfa: hoffi=to like; coginio=to cook; gydag=with; bob dydd=every day","olew olewydd","olew olewydd","olew olewydd|olew|olew llysiau|olew olewyddau","""Olew olewydd"" is a set phrase meaning ""olive oil"". It fits naturally after ""gydag"" (with).","Mae ""olew olewydd"" yn ymadrodd sefydlog sy’n golygu ""olive oil"". Mae’n ffitio’n naturiol ar ôl ""gydag"" (with).","noun|masculine|food|phrase|uwch2|uned6","enw|gwrywaidd|bwyd|ymadrodd|uwch2|uned6"
v000029,Uwch 2,6,noun-masc,enw-gwrywaidd,plas,mansion,"Masculine noun meaning ""mansion/large house"". Plural: plasau. Example: Mae'r plas ar agor i ymwelwyr.","Enw gwrywaidd sy’n golygu ""plas"" (mansion). Lluosog: plasau. Enghraifft: Mae'r plas ar agor i ymwelwyr.","Aethon nhw i weld ei","ar y bryn.","Glossary: aethon nhw=they went; gweld=to see; ei=his; bryn=hill","Geirfa: aethon nhw=they went; gweld=to see; ei=ei (ef); bryn=hill",blas,blas,"blas|plas|plasau|blasau","""Plas"" is masculine. After ""ei"" (his), soft mutation applies: ""plas"" → ""blas"" (p→b).","Mae ""plas"" yn enw gwrywaidd. Ar ôl ""ei"" (ei ef) ceir treiglad meddal: ""plas"" → ""blas"" (p→b).","noun|masculine|mutation|buildings|heritage|uwch2|uned6","enw|gwrywaidd|treiglad|adeiladau|treftadaeth|uwch2|uned6"
